index,``,IN,JJ,DT,NN,VBZ,NNP,NNS,",",RB,'',VBD,.,WP,VBP,MD,VB,CC,PRP$,VBG,PRP,VBN,TO,POS,:,$,CD,JJR,WDT,EX,WRB,HYPH,RP,RBS,(,),JJS,RBR,UH,WP$,NNPS,FW,SYM,PDT,AFX,GW,Spearman Corr.,p-value
count,109.0,2716.0,1445.0,2121.0,3118.0,438.0,1483.0,1125.0,1002.0,772.0,111.0,873.0,1000.0,67.0,259.0,165.0,507.0,576.0,255.0,332.0,490.0,588.0,267.0,104.0,64.0,21.0,460.0,52.0,124.0,35.0,69.0,94.0,67.0,25.0,36.0,36.0,37.0,36.0,1.0,5.0,56.0,17.0,4.0,11.0,1.0,1.0,,
Layer 0,0.743718592964824,0.9224217737456026,0.794188861985472,0.9867986798679867,0.8694966072273946,0.8637469586374695,0.8600392413342053,0.9235421166306695,0.9954977488744373,0.8549828178694158,0.7966804979253111,0.7771960442117509,0.998001998001998,0.9850746268656716,0.6072289156626506,0.9784615384615384,0.6974874371859298,0.9860139860139859,0.9807692307692307,0.8567251461988303,0.978328173374613,0.6604729729729729,0.6464968152866242,0.7811158798283262,0.9763779527559054,1.0,0.9673202614379085,0.4347826086956522,0.7862595419847328,0.8750000000000001,0.9855072463768116,0.9393939393939394,0.6717557251908397,0.3684210526315789,1.0,1.0,0.6585365853658536,0.4383561643835616,0.0,1.0,0.24615384615384617,0.0,0.0,0.0,0.0,0.0,0.36144079670672163,0.013586428377357218
Layer 1,0.8140703517587939,0.9364352445502839,0.8038607376766632,0.9846806504831488,0.8760622093955427,0.8898978433598185,0.8654284783317042,0.9261388766032729,0.9959959959959961,0.8563685636856369,0.8319327731092437,0.7880794701986754,0.998001998001998,0.9850746268656716,0.651270207852194,0.9815950920245399,0.7110675808031341,0.9843205574912893,0.9788053949903661,0.8613138686131386,0.9803516028955532,0.6466848319709355,0.7189781021897811,0.9014084507042254,0.9612403100775193,1.0,0.9685124864277959,0.5607476635514018,0.767605633802817,0.8860759493670886,0.9855072463768116,0.9393939393939394,0.6923076923076923,0.2222222222222222,1.0,1.0,0.6436781609195402,0.39344262295081966,0.0,1.0,0.35616438356164387,0.0,0.0,0.0,0.0,0.0,0.3448235390902273,0.018933976383331576
Layer 2,0.9406392694063928,0.9795768169273229,0.8462594371997255,0.9924882629107982,0.9132405309161541,0.9318181818181818,0.8794280142996426,0.942781690140845,0.997,0.903225806451613,0.9321266968325792,0.8947075208913648,1.0,0.9850746268656716,0.8212765957446808,0.9847094801223242,0.873405299313052,0.9868995633187774,0.9845559845559846,0.920353982300885,0.9876288659793814,0.8169761273209549,0.9613259668508287,0.9615384615384616,0.9612403100775193,1.0,0.9781181619256017,0.5849056603773585,0.9387755102040816,0.9722222222222222,0.9855072463768116,0.9533678756476683,0.7801418439716312,0.7441860465116279,1.0,1.0,0.825,0.43333333333333335,0.0,1.0,0.4533333333333333,0.21052631578947367,0.5714285714285715,0.5000000000000001,0.0,0.0,0.31632561960843947,0.032216481147122375
Layer 3,0.9818181818181818,0.9869317136020616,0.883623693379791,0.995296331138288,0.9383947241434776,0.9692132269099202,0.9010844561288203,0.9637488947833776,0.997002997002997,0.9243697478991597,0.9818181818181818,0.9429874572405929,1.0,0.9850746268656716,0.8565656565656566,0.9877300613496933,0.9167482859941234,0.9903930131004367,0.99609375,0.9214814814814815,0.9928352098259979,0.8953191489361702,0.9833024118738405,0.9952153110047847,0.9457364341085271,1.0,0.9825708061002177,0.6597938144329897,0.959349593495935,1.0,0.9927007299270074,0.962962962962963,0.8656716417910447,0.8571428571428572,1.0,1.0,0.8767123287671232,0.7297297297297298,0.0,1.0,0.5714285714285714,0.2857142857142857,0.75,0.7058823529411764,0.0,0.0,0.28689676839033457,0.05321983373250877
Layer 4,0.995433789954338,0.988970588235294,0.9024390243902439,0.9967027790861989,0.9459980713596914,0.9840182648401826,0.9041005291005292,0.9726148409893993,0.9975037443834249,0.9282482223658692,0.990990990990991,0.9686966420034149,0.9995002498750626,0.9850746268656716,0.8870967741935485,0.9908256880733944,0.940603700097371,0.9956483899042646,1.0,0.9335302806499262,0.9948927477017365,0.9316239316239316,0.9887640449438202,0.9903846153846154,0.9606299212598425,1.0,0.9792802617230097,0.6236559139784946,0.97165991902834,1.0,0.9855072463768116,0.968421052631579,0.8571428571428571,0.88,1.0,1.0,0.9041095890410958,0.7012987012987012,0.0,1.0,0.5348837209302325,0.2727272727272727,0.5,0.6666666666666665,0.0,0.0,0.2863937984035438,0.05365714774975547
Layer 5,0.995433789954338,0.9887640449438202,0.9020689655172414,0.9964680951259712,0.9491634491634492,0.9897610921501707,0.9092721834496511,0.9761484098939929,0.9975012493753124,0.9261658031088084,0.990990990990991,0.9839080459770114,0.999,0.9850746268656716,0.9227722772277228,0.9969604863221885,0.960552268244576,0.9982608695652174,0.9980430528375733,0.9359165424739195,0.9938650306748468,0.940084388185654,0.9925093632958801,0.9855072463768114,0.931297709923664,1.0,0.9869281045751633,0.5869565217391304,0.9799196787148594,1.0,0.9855072463768116,0.9735449735449735,0.8550724637681161,0.8749999999999999,1.0,1.0,0.8918918918918919,0.6301369863013699,0.0,1.0,0.6170212765957447,0.3636363636363636,0.4444444444444445,0.5555555555555556,0.0,0.0,0.3036701254593899,0.04020483490801038
Layer 6,0.995433789954338,0.9895046952679065,0.9047127622979017,0.9974099364257123,0.9490271747869432,0.9931662870159453,0.9123625458180606,0.9783473265576669,0.9965087281795512,0.9294498381877022,0.9954751131221719,0.9810671256454389,0.999,0.9850746268656716,0.9264413518886679,0.9908256880733944,0.9627450980392157,0.9982638888888888,0.9980430528375733,0.9427710843373494,0.9948822927328557,0.9401853411962933,0.9962686567164178,0.9952153110047847,0.921875,1.0,0.9847494553376905,0.6521739130434783,0.9758064516129032,1.0,0.9855072463768116,0.967741935483871,0.8613138686131387,0.8979591836734694,1.0,1.0,0.9014084507042254,0.7123287671232876,0.0,1.0,0.6947368421052632,0.1818181818181818,0.6,0.39999999999999997,0.0,0.0,0.3017563678075824,0.04154315622895531
Layer 7,0.995433789954338,0.9891444342226311,0.9057123193392981,0.9967027790861989,0.9465722561956871,0.9931662870159453,0.9112149532710281,0.9783089862771138,0.997002997002997,0.9329896907216495,0.9954751131221719,0.9873853211009175,0.9995002498750626,0.9850746268656716,0.9282868525896414,0.9908814589665653,0.959843290891283,0.9982638888888888,0.9980430528375733,0.9470499243570347,0.9938650306748468,0.9493243243243243,0.9943925233644859,0.9952153110047847,0.9302325581395349,1.0,0.9848156182212582,0.6236559139784946,0.967741935483871,1.0,0.9784172661870504,0.9787234042553191,0.888888888888889,0.8749999999999999,1.0,1.0,0.888888888888889,0.6944444444444444,0.0,0.888888888888889,0.7,0.1818181818181818,0.6,0.39999999999999997,0.0,0.0,0.4001481498669533,0.005861874856659748
Layer 8,0.995433789954338,0.9882223040117777,0.9055956059045658,0.9959990586020241,0.948317501207535,0.9920364050056882,0.9112149532710281,0.9778761061946902,0.997002997002997,0.9304123711340206,0.9954751131221719,0.9856733524355301,0.9995002498750626,0.9850746268656716,0.9301397205588822,0.9847094801223242,0.9600778967867575,0.9973935708079931,0.9980430528375733,0.9413533834586466,0.9948822927328557,0.9446808510638298,0.9962546816479401,0.9952153110047847,0.9375,1.0,0.9848156182212582,0.6595744680851063,0.9758064516129032,1.0,0.9927007299270074,0.9732620320855615,0.8840579710144928,0.8333333333333333,1.0,1.0,0.8493150684931507,0.7142857142857144,0.0,1.0,0.6947368421052632,0.1739130434782609,0.6,0.39999999999999997,0.0,0.0,0.2986696619175703,0.04377830082794877
Layer 9,0.995433789954338,0.9895008288819305,0.9050546448087431,0.995291902071563,0.9478948217454428,0.9931662870159453,0.9094540612516645,0.9743135518157661,0.997002997002997,0.9320512820512821,0.9954751131221719,0.9855907780979826,0.9990009990009989,0.9850746268656716,0.9475728155339807,0.9909365558912386,0.9616519174041299,0.999131190269331,0.9980430528375733,0.9341317365269461,0.9938524590163934,0.9419795221843004,0.9925373134328358,0.9952153110047847,0.9291338582677166,1.0,0.9815418023887079,0.6597938144329897,0.9674796747967479,1.0,0.9927007299270074,0.9732620320855615,0.8676470588235295,0.8333333333333333,1.0,1.0,0.8000000000000002,0.6956521739130435,0.0,1.0,0.6451612903225806,0.2608695652173913,0.6,0.28571428571428575,0.0,0.0,0.2913233018993415,0.049493809731341785
Layer 10,0.995433789954338,0.9891444342226311,0.8997968855788762,0.995053003533569,0.9494038027715114,0.9931818181818183,0.9106182795698925,0.9734748010610079,0.9975012493753124,0.9244558258642765,0.9954751131221719,0.9907940161104719,0.9990009990009989,0.9850746268656716,0.9514563106796116,0.9878787878787879,0.967551622418879,0.999131190269331,0.9980430528375733,0.9335347432024168,0.9928352098259979,0.9478186484174509,0.9943925233644859,0.9952153110047847,0.9457364341085271,1.0,0.9815016322089227,0.6444444444444444,0.9674796747967479,1.0,0.9927007299270074,0.983957219251337,0.8776978417266188,0.8749999999999999,1.0,1.0,0.8285714285714285,0.6470588235294118,0.0,1.0,0.6021505376344086,0.2727272727272727,0.75,0.28571428571428575,0.0,0.0,0.2788530101036926,0.0605675849628942
Layer 11,0.995433789954338,0.9891404380636849,0.8921203922894826,0.9945869616380325,0.9471301535974131,0.9931818181818183,0.9085447263017357,0.9712262062859672,0.9975012493753124,0.9217948717948717,0.9954751131221719,0.9896670493685419,0.9990009990009989,0.9850746268656716,0.9534883720930233,0.9908814589665653,0.9703557312252964,0.9965156794425087,1.0,0.9263157894736842,0.9948822927328557,0.948892674616695,0.9943925233644859,0.9952153110047847,0.9457364341085271,1.0,0.9814207650273225,0.6888888888888889,0.9674796747967479,1.0,1.0,0.983957219251337,0.851063829787234,0.8085106382978724,1.0,1.0,0.746268656716418,0.6571428571428571,0.0,1.0,0.5957446808510638,0.19047619047619047,0.75,0.39999999999999997,0.0,0.0,0.2647016667483068,0.07544532853030307
Layer 12,0.995433789954338,0.9853211009174312,0.8685983827493261,0.9933899905571295,0.9312952534191472,0.9897610921501707,0.8923988153998025,0.9572498898193036,0.9980000000000001,0.9032258064516129,0.9954751131221719,0.9896432681242807,0.999,0.9850746268656716,0.9169960474308301,0.9815950920245399,0.9466403162055335,0.993897122929381,0.9941291585127201,0.906060606060606,0.9876543209876544,0.937446443873179,0.9962546816479401,0.9903846153846154,0.9538461538461539,1.0,0.9650655021834061,0.5979381443298969,0.9714285714285714,1.0,0.9927007299270074,0.9789473684210526,0.8571428571428571,0.816326530612245,1.0,1.0,0.6551724137931034,0.5483870967741936,0.0,0.888888888888889,0.2898550724637681,0.0,0.4,0.15384615384615385,0.0,0.0,0.3596185510166119,0.01410155868887741
